date,maxtemp_c,mintemp_c,avgtemp_c,city,region,country,lat,lon,weekday,day_num,month_num,month,year,week,alpha-3,continent
2023-02-01,5.2,3.3,4.5,Berlin,Berlin,Germany,52.52,13.4,wednesday,1,2,February ,2023,5,DEU,Europe
2023-02-02,6.8,0.8,4.1,Berlin,Berlin,Germany,52.52,13.4,thursday ,2,2,February ,2023,5,DEU,Europe
2023-02-03,7.9,1.7,5.5,Berlin,Berlin,Germany,52.52,13.4,friday   ,3,2,February ,2023,5,DEU,Europe
2023-02-04,5.2,-0.4,2.9,Berlin,Berlin,Germany,52.52,13.4,saturday ,4,2,February ,2023,5,DEU,Europe
2023-02-05,2.4,-2.5,-0.4,Berlin,Berlin,Germany,52.52,13.4,sunday   ,5,2,February ,2023,6,DEU,Europe
2023-02-06,2.8,-3.4,-0.8,Berlin,Berlin,Germany,52.52,13.4,monday   ,6,2,February ,2023,6,DEU,Europe
2023-02-07,2.0,-4.0,-1.3,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,7,2,February ,2023,6,DEU,Europe
2023-02-08,4.2,-3.5,-0.6,Berlin,Berlin,Germany,52.52,13.4,wednesday,8,2,February ,2023,6,DEU,Europe
2023-02-09,3.4,-3.1,-0.2,Berlin,Berlin,Germany,52.52,13.4,thursday ,9,2,February ,2023,6,DEU,Europe
2023-02-10,4.7,-0.4,1.7,Berlin,Berlin,Germany,52.52,13.4,friday   ,10,2,February ,2023,6,DEU,Europe
2023-02-11,7.9,3.4,6.1,Berlin,Berlin,Germany,52.52,13.4,saturday ,11,2,February ,2023,6,DEU,Europe
2023-02-12,9.6,5.7,7.3,Berlin,Berlin,Germany,52.52,13.4,sunday   ,12,2,February ,2023,7,DEU,Europe
2023-02-13,9.8,3.8,6.3,Berlin,Berlin,Germany,52.52,13.4,monday   ,13,2,February ,2023,7,DEU,Europe
2023-02-14,8.6,2.3,5.1,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,14,2,February ,2023,7,DEU,Europe
2023-02-15,10.1,0.4,4.5,Berlin,Berlin,Germany,52.52,13.4,wednesday,15,2,February ,2023,7,DEU,Europe
2023-02-16,9.8,1.4,5.4,Berlin,Berlin,Germany,52.52,13.4,thursday ,16,2,February ,2023,7,DEU,Europe
2023-02-17,12.1,6.9,9.3,Berlin,Berlin,Germany,52.52,13.4,friday   ,17,2,February ,2023,7,DEU,Europe
2023-02-18,8.0,4.0,6.4,Berlin,Berlin,Germany,52.52,13.4,saturday ,18,2,February ,2023,7,DEU,Europe
2023-02-19,7.9,3.0,5.0,Berlin,Berlin,Germany,52.52,13.4,sunday   ,19,2,February ,2023,8,DEU,Europe
2023-02-20,9.5,3.4,7.1,Berlin,Berlin,Germany,52.52,13.4,monday   ,20,2,February ,2023,8,DEU,Europe
2023-02-21,10.1,7.1,9.2,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,21,2,February ,2023,8,DEU,Europe
2023-02-22,10.5,5.2,7.7,Berlin,Berlin,Germany,52.52,13.4,wednesday,22,2,February ,2023,8,DEU,Europe
2023-02-23,9.9,5.2,7.2,Berlin,Berlin,Germany,52.52,13.4,thursday ,23,2,February ,2023,8,DEU,Europe
2023-02-24,5.1,1.1,2.7,Berlin,Berlin,Germany,52.52,13.4,friday   ,24,2,February ,2023,8,DEU,Europe
2023-02-25,3.4,-0.3,1.4,Berlin,Berlin,Germany,52.52,13.4,saturday ,25,2,February ,2023,8,DEU,Europe
2023-02-26,3.6,-1.6,0.4,Berlin,Berlin,Germany,52.52,13.4,sunday   ,26,2,February ,2023,9,DEU,Europe
2023-02-27,4.5,-1.9,0.8,Berlin,Berlin,Germany,52.52,13.4,monday   ,27,2,February ,2023,9,DEU,Europe
2023-02-28,7.3,-1.1,2.2,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,28,2,February ,2023,9,DEU,Europe
2023-03-01,8.1,-1.0,3.1,Berlin,Berlin,Germany,52.52,13.4,wednesday,1,3,March    ,2023,9,DEU,Europe
2023-03-02,9.0,0.0,3.7,Berlin,Berlin,Germany,52.52,13.4,thursday ,2,3,March    ,2023,9,DEU,Europe
2023-03-03,11.7,0.1,4.5,Berlin,Berlin,Germany,52.52,13.4,friday   ,3,3,March    ,2023,9,DEU,Europe
2023-03-04,5.9,0.3,4.0,Berlin,Berlin,Germany,52.52,13.4,saturday ,4,3,March    ,2023,9,DEU,Europe
2023-03-05,4.6,-1.3,1.9,Berlin,Berlin,Germany,52.52,13.4,sunday   ,5,3,March    ,2023,10,DEU,Europe
2023-03-06,5.2,-1.3,1.2,Berlin,Berlin,Germany,52.52,13.4,monday   ,6,3,March    ,2023,10,DEU,Europe
2023-03-07,4.0,-1.7,1.5,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,7,3,March    ,2023,10,DEU,Europe
2023-03-08,3.4,-1.2,0.8,Berlin,Berlin,Germany,52.52,13.4,wednesday,8,3,March    ,2023,10,DEU,Europe
2023-03-09,2.4,-0.4,1.0,Berlin,Berlin,Germany,52.52,13.4,thursday ,9,3,March    ,2023,10,DEU,Europe
2023-03-10,10.9,2.8,6.7,Berlin,Berlin,Germany,52.52,13.4,friday   ,10,3,March    ,2023,10,DEU,Europe
2023-03-11,5.8,-0.5,2.4,Berlin,Berlin,Germany,52.52,13.4,saturday ,11,3,March    ,2023,10,DEU,Europe
2023-03-12,5.1,0.6,2.4,Berlin,Berlin,Germany,52.52,13.4,sunday   ,12,3,March    ,2023,11,DEU,Europe
2023-03-13,13.5,4.9,9.1,Berlin,Berlin,Germany,52.52,13.4,monday   ,13,3,March    ,2023,11,DEU,Europe
2023-03-14,11.2,3.4,9.1,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,14,3,March    ,2023,11,DEU,Europe
2023-03-15,8.3,0.6,4.0,Berlin,Berlin,Germany,52.52,13.4,wednesday,15,3,March    ,2023,11,DEU,Europe
2023-03-16,7.9,-0.4,3.8,Berlin,Berlin,Germany,52.52,13.4,thursday ,16,3,March    ,2023,11,DEU,Europe
2023-03-17,12.7,2.5,7.1,Berlin,Berlin,Germany,52.52,13.4,friday   ,17,3,March    ,2023,11,DEU,Europe
2023-03-18,16.6,6.8,11.0,Berlin,Berlin,Germany,52.52,13.4,saturday ,18,3,March    ,2023,11,DEU,Europe
2023-03-19,17.3,7.4,11.8,Berlin,Berlin,Germany,52.52,13.4,sunday   ,19,3,March    ,2023,12,DEU,Europe
2023-03-20,9.1,5.1,7.0,Berlin,Berlin,Germany,52.52,13.4,monday   ,20,3,March    ,2023,12,DEU,Europe
2023-03-21,9.5,7.0,8.1,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,21,3,March    ,2023,12,DEU,Europe
2023-03-22,15.0,8.3,11.2,Berlin,Berlin,Germany,52.52,13.4,wednesday,22,3,March    ,2023,12,DEU,Europe
2023-03-23,15.6,10.3,12.0,Berlin,Berlin,Germany,52.52,13.4,thursday ,23,3,March    ,2023,12,DEU,Europe
2023-03-24,16.0,8.5,11.2,Berlin,Berlin,Germany,52.52,13.4,friday   ,24,3,March    ,2023,12,DEU,Europe
2023-03-25,10.9,7.1,8.7,Berlin,Berlin,Germany,52.52,13.4,saturday ,25,3,March    ,2023,12,DEU,Europe
2023-03-26,9.4,3.8,7.3,Berlin,Berlin,Germany,52.52,13.4,sunday   ,26,3,March    ,2023,13,DEU,Europe
2023-03-27,6.7,1.2,3.6,Berlin,Berlin,Germany,52.52,13.4,monday   ,27,3,March    ,2023,13,DEU,Europe
2023-03-28,7.5,-1.3,3.0,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,28,3,March    ,2023,13,DEU,Europe
2023-03-29,11.3,2.6,6.6,Berlin,Berlin,Germany,52.52,13.4,wednesday,29,3,March    ,2023,13,DEU,Europe
2023-03-30,17.3,7.5,11.9,Berlin,Berlin,Germany,52.52,13.4,thursday ,30,3,March    ,2023,13,DEU,Europe
2023-03-31,14.5,8.6,10.9,Berlin,Berlin,Germany,52.52,13.4,friday   ,31,3,March    ,2023,13,DEU,Europe
2023-04-01,8.8,2.1,6.3,Berlin,Berlin,Germany,52.52,13.4,saturday ,1,4,April    ,2023,13,DEU,Europe
2023-04-02,8.3,0.9,4.0,Berlin,Berlin,Germany,52.52,13.4,sunday   ,2,4,April    ,2023,14,DEU,Europe
2023-04-03,6.4,-0.7,2.5,Berlin,Berlin,Germany,52.52,13.4,monday   ,3,4,April    ,2023,14,DEU,Europe
2023-04-04,6.2,-2.4,2.4,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,4,4,April    ,2023,14,DEU,Europe
2023-04-05,5.4,-1.5,2.2,Berlin,Berlin,Germany,52.52,13.4,wednesday,5,4,April    ,2023,14,DEU,Europe
2023-04-06,11.5,-1.2,5.4,Berlin,Berlin,Germany,52.52,13.4,thursday ,6,4,April    ,2023,14,DEU,Europe
2023-04-07,7.2,0.0,4.3,Berlin,Berlin,Germany,52.52,13.4,friday   ,7,4,April    ,2023,14,DEU,Europe
2023-04-08,12.5,5.0,8.3,Berlin,Berlin,Germany,52.52,13.4,saturday ,8,4,April    ,2023,14,DEU,Europe
2023-04-09,13.0,3.5,8.0,Berlin,Berlin,Germany,52.52,13.4,sunday   ,9,4,April    ,2023,15,DEU,Europe
2023-04-10,15.6,3.8,10.2,Berlin,Berlin,Germany,52.52,13.4,monday   ,10,4,April    ,2023,15,DEU,Europe
2023-04-11,11.0,5.6,9.3,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,11,4,April    ,2023,15,DEU,Europe
2023-04-12,13.8,1.7,8.1,Berlin,Berlin,Germany,52.52,13.4,wednesday,12,4,April    ,2023,15,DEU,Europe
2023-04-13,12.2,6.5,9.1,Berlin,Berlin,Germany,52.52,13.4,thursday ,13,4,April    ,2023,15,DEU,Europe
2023-04-14,8.7,5.7,7.0,Berlin,Berlin,Germany,52.52,13.4,friday   ,14,4,April    ,2023,15,DEU,Europe
2023-04-15,10.8,7.4,8.4,Berlin,Berlin,Germany,52.52,13.4,saturday ,15,4,April    ,2023,15,DEU,Europe
2023-04-16,11.3,7.6,9.1,Berlin,Berlin,Germany,52.52,13.4,sunday   ,16,4,April    ,2023,16,DEU,Europe
2023-04-17,11.0,6.0,8.2,Berlin,Berlin,Germany,52.52,13.4,monday   ,17,4,April    ,2023,16,DEU,Europe
2023-04-18,11.9,4.5,7.6,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,18,4,April    ,2023,16,DEU,Europe
2023-04-19,8.2,3.1,5.1,Berlin,Berlin,Germany,52.52,13.4,wednesday,19,4,April    ,2023,16,DEU,Europe
2023-04-20,13.2,3.8,8.5,Berlin,Berlin,Germany,52.52,13.4,thursday ,20,4,April    ,2023,16,DEU,Europe
2023-04-21,19.1,8.7,13.2,Berlin,Berlin,Germany,52.52,13.4,friday   ,21,4,April    ,2023,16,DEU,Europe
2023-04-22,20.0,7.7,13.9,Berlin,Berlin,Germany,52.52,13.4,saturday ,22,4,April    ,2023,16,DEU,Europe
2023-04-23,16.4,10.3,12.7,Berlin,Berlin,Germany,52.52,13.4,sunday   ,23,4,April    ,2023,17,DEU,Europe
2023-04-24,16.0,8.2,12.5,Berlin,Berlin,Germany,52.52,13.4,monday   ,24,4,April    ,2023,17,DEU,Europe
2023-04-25,11.2,5.1,7.8,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,25,4,April    ,2023,17,DEU,Europe
2023-04-26,10.3,2.3,6.4,Berlin,Berlin,Germany,52.52,13.4,wednesday,26,4,April    ,2023,17,DEU,Europe
2023-04-27,12.0,2.2,7.5,Berlin,Berlin,Germany,52.52,13.4,thursday ,27,4,April    ,2023,17,DEU,Europe
2023-04-28,13.6,3.3,8.9,Berlin,Berlin,Germany,52.52,13.4,friday   ,28,4,April    ,2023,17,DEU,Europe
2023-04-29,12.5,8.7,10.6,Berlin,Berlin,Germany,52.52,13.4,saturday ,29,4,April    ,2023,17,DEU,Europe
2023-04-30,15.7,4.6,9.9,Berlin,Berlin,Germany,52.52,13.4,sunday   ,30,4,April    ,2023,18,DEU,Europe
2023-05-01,18.8,4.2,11.7,Berlin,Berlin,Germany,52.52,13.4,monday   ,1,5,May      ,2023,18,DEU,Europe
2023-05-02,12.9,7.3,10.0,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,2,5,May      ,2023,18,DEU,Europe
2023-05-03,15.4,4.8,9.9,Berlin,Berlin,Germany,52.52,13.4,wednesday,3,5,May      ,2023,18,DEU,Europe
2023-05-04,18.0,4.3,11.3,Berlin,Berlin,Germany,52.52,13.4,thursday ,4,5,May      ,2023,18,DEU,Europe
2023-05-05,18.1,7.0,12.7,Berlin,Berlin,Germany,52.52,13.4,friday   ,5,5,May      ,2023,18,DEU,Europe
2023-05-06,10.8,7.0,8.6,Berlin,Berlin,Germany,52.52,13.4,saturday ,6,5,May      ,2023,18,DEU,Europe
2023-05-07,14.1,7.8,10.2,Berlin,Berlin,Germany,52.52,13.4,sunday   ,7,5,May      ,2023,19,DEU,Europe
2023-05-08,16.9,5.1,11.0,Berlin,Berlin,Germany,52.52,13.4,monday   ,8,5,May      ,2023,19,DEU,Europe
2023-05-09,19.5,6.5,13.0,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,9,5,May      ,2023,19,DEU,Europe
2023-05-10,17.9,9.5,13.8,Berlin,Berlin,Germany,52.52,13.4,wednesday,10,5,May      ,2023,19,DEU,Europe
2023-05-11,20.4,11.4,15.8,Berlin,Berlin,Germany,52.52,13.4,thursday ,11,5,May      ,2023,19,DEU,Europe
2023-05-12,21.1,11.2,16.1,Berlin,Berlin,Germany,52.52,13.4,friday   ,12,5,May      ,2023,19,DEU,Europe
2023-05-13,21.5,10.8,16.1,Berlin,Berlin,Germany,52.52,13.4,saturday ,13,5,May      ,2023,19,DEU,Europe
2023-05-14,19.2,9.3,14.9,Berlin,Berlin,Germany,52.52,13.4,sunday   ,14,5,May      ,2023,20,DEU,Europe
2023-05-15,18.6,10.6,14.5,Berlin,Berlin,Germany,52.52,13.4,monday   ,15,5,May      ,2023,20,DEU,Europe
2023-05-16,17.2,8.9,12.0,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,16,5,May      ,2023,20,DEU,Europe
2023-05-17,15.0,6.0,10.5,Berlin,Berlin,Germany,52.52,13.4,wednesday,17,5,May      ,2023,20,DEU,Europe
2023-05-18,15.2,5.2,10.8,Berlin,Berlin,Germany,52.52,13.4,thursday ,18,5,May      ,2023,20,DEU,Europe
2023-05-19,18.1,6.9,13.0,Berlin,Berlin,Germany,52.52,13.4,friday   ,19,5,May      ,2023,20,DEU,Europe
2023-05-20,21.0,9.3,14.8,Berlin,Berlin,Germany,52.52,13.4,saturday ,20,5,May      ,2023,20,DEU,Europe
2023-05-21,26.6,13.5,19.7,Berlin,Berlin,Germany,52.52,13.4,sunday   ,21,5,May      ,2023,21,DEU,Europe
2023-05-22,26.2,14.6,20.0,Berlin,Berlin,Germany,52.52,13.4,monday   ,22,5,May      ,2023,21,DEU,Europe
2023-05-23,17.6,11.1,15.2,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,23,5,May      ,2023,21,DEU,Europe
2023-05-24,16.5,7.9,12.6,Berlin,Berlin,Germany,52.52,13.4,wednesday,24,5,May      ,2023,21,DEU,Europe
2023-05-25,19.9,8.8,14.6,Berlin,Berlin,Germany,52.52,13.4,thursday ,25,5,May      ,2023,21,DEU,Europe
2023-05-26,19.6,8.2,13.8,Berlin,Berlin,Germany,52.52,13.4,friday   ,26,5,May      ,2023,21,DEU,Europe
2023-05-27,20.9,8.1,15.0,Berlin,Berlin,Germany,52.52,13.4,saturday ,27,5,May      ,2023,21,DEU,Europe
2023-05-28,23.3,9.7,17.0,Berlin,Berlin,Germany,52.52,13.4,sunday   ,28,5,May      ,2023,22,DEU,Europe
2023-05-29,20.9,12.0,16.0,Berlin,Berlin,Germany,52.52,13.4,monday   ,29,5,May      ,2023,22,DEU,Europe
2023-05-30,22.3,8.7,15.6,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,30,5,May      ,2023,22,DEU,Europe
2023-05-31,24.6,10.4,17.6,Berlin,Berlin,Germany,52.52,13.4,wednesday,31,5,May      ,2023,22,DEU,Europe
2023-06-01,23.2,10.8,16.8,Berlin,Berlin,Germany,52.52,13.4,thursday ,1,6,June     ,2023,22,DEU,Europe
2023-06-02,20.0,10.4,15.1,Berlin,Berlin,Germany,52.52,13.4,friday   ,2,6,June     ,2023,22,DEU,Europe
2023-06-03,21.2,7.5,14.5,Berlin,Berlin,Germany,52.52,13.4,saturday ,3,6,June     ,2023,22,DEU,Europe
2023-06-04,23.3,9.2,16.8,Berlin,Berlin,Germany,52.52,13.4,sunday   ,4,6,June     ,2023,23,DEU,Europe
2023-06-05,25.1,11.3,19.2,Berlin,Berlin,Germany,52.52,13.4,monday   ,5,6,June     ,2023,23,DEU,Europe
2023-06-06,21.7,14.8,18.5,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,6,6,June     ,2023,23,DEU,Europe
2023-06-07,26.6,15.9,20.9,Berlin,Berlin,Germany,52.52,13.4,wednesday,7,6,June     ,2023,23,DEU,Europe
2023-06-08,27.6,16.1,21.9,Berlin,Berlin,Germany,52.52,13.4,thursday ,8,6,June     ,2023,23,DEU,Europe
2023-06-09,27.9,17.2,22.3,Berlin,Berlin,Germany,52.52,13.4,friday   ,9,6,June     ,2023,23,DEU,Europe
2023-06-10,28.9,15.5,22.3,Berlin,Berlin,Germany,52.52,13.4,saturday ,10,6,June     ,2023,23,DEU,Europe
2023-06-11,27.4,14.5,21.5,Berlin,Berlin,Germany,52.52,13.4,sunday   ,11,6,June     ,2023,24,DEU,Europe
2023-06-12,26.6,14.1,20.9,Berlin,Berlin,Germany,52.52,13.4,monday   ,12,6,June     ,2023,24,DEU,Europe
2023-06-13,21.3,13.9,17.8,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,13,6,June     ,2023,24,DEU,Europe
2023-06-14,22.3,12.5,17.5,Berlin,Berlin,Germany,52.52,13.4,wednesday,14,6,June     ,2023,24,DEU,Europe
2023-06-15,21.8,12.7,17.2,Berlin,Berlin,Germany,52.52,13.4,thursday ,15,6,June     ,2023,24,DEU,Europe
2023-06-16,19.4,13.5,16.1,Berlin,Berlin,Germany,52.52,13.4,friday   ,16,6,June     ,2023,24,DEU,Europe
2023-06-17,23.7,13.1,18.2,Berlin,Berlin,Germany,52.52,13.4,saturday ,17,6,June     ,2023,24,DEU,Europe
2023-06-18,26.1,13.2,20.2,Berlin,Berlin,Germany,52.52,13.4,sunday   ,18,6,June     ,2023,25,DEU,Europe
2023-06-19,28.3,15.6,22.2,Berlin,Berlin,Germany,52.52,13.4,monday   ,19,6,June     ,2023,25,DEU,Europe
2023-06-20,28.3,18.6,23.6,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,20,6,June     ,2023,25,DEU,Europe
2023-06-21,30.1,19.8,24.6,Berlin,Berlin,Germany,52.52,13.4,wednesday,21,6,June     ,2023,25,DEU,Europe
2023-06-22,29.0,18.2,24.0,Berlin,Berlin,Germany,52.52,13.4,thursday ,22,6,June     ,2023,25,DEU,Europe
2023-06-23,19.1,14.9,17.2,Berlin,Berlin,Germany,52.52,13.4,friday   ,23,6,June     ,2023,25,DEU,Europe
2023-06-24,25.4,13.2,19.7,Berlin,Berlin,Germany,52.52,13.4,saturday ,24,6,June     ,2023,25,DEU,Europe
2023-06-25,26.7,17.6,22.0,Berlin,Berlin,Germany,52.52,13.4,sunday   ,25,6,June     ,2023,26,DEU,Europe
2023-06-26,31.0,18.1,22.9,Berlin,Berlin,Germany,52.52,13.4,monday   ,26,6,June     ,2023,26,DEU,Europe
2023-06-27,20.7,13.6,17.4,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,27,6,June     ,2023,26,DEU,Europe
2023-06-28,22.2,12.1,17.5,Berlin,Berlin,Germany,52.52,13.4,wednesday,28,6,June     ,2023,26,DEU,Europe
2023-06-29,25.5,13.8,20.6,Berlin,Berlin,Germany,52.52,13.4,thursday ,29,6,June     ,2023,26,DEU,Europe
2023-06-30,22.0,15.8,18.7,Berlin,Berlin,Germany,52.52,13.4,friday   ,30,6,June     ,2023,26,DEU,Europe
2023-07-01,24.1,15.8,19.4,Berlin,Berlin,Germany,52.52,13.4,saturday ,1,7,July     ,2023,26,DEU,Europe
2023-07-02,23.3,15.3,18.6,Berlin,Berlin,Germany,52.52,13.4,sunday   ,2,7,July     ,2023,27,DEU,Europe
2023-07-03,22.2,13.3,18.2,Berlin,Berlin,Germany,52.52,13.4,monday   ,3,7,July     ,2023,27,DEU,Europe
2023-07-04,22.0,14.8,18.4,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,4,7,July     ,2023,27,DEU,Europe
2023-07-05,24.2,13.9,18.7,Berlin,Berlin,Germany,52.52,13.4,wednesday,5,7,July     ,2023,27,DEU,Europe
2023-07-06,22.5,13.3,18.4,Berlin,Berlin,Germany,52.52,13.4,thursday ,6,7,July     ,2023,27,DEU,Europe
2023-07-07,28.6,14.1,21.7,Berlin,Berlin,Germany,52.52,13.4,friday   ,7,7,July     ,2023,27,DEU,Europe
2023-07-08,31.5,15.2,23.9,Berlin,Berlin,Germany,52.52,13.4,saturday ,8,7,July     ,2023,27,DEU,Europe
2023-07-09,33.1,17.1,25.5,Berlin,Berlin,Germany,52.52,13.4,sunday   ,9,7,July     ,2023,28,DEU,Europe
2023-07-10,28.1,19.6,23.4,Berlin,Berlin,Germany,52.52,13.4,monday   ,10,7,July     ,2023,28,DEU,Europe
2023-07-11,31.3,16.7,24.2,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,11,7,July     ,2023,28,DEU,Europe
2023-07-12,28.8,19.6,23.9,Berlin,Berlin,Germany,52.52,13.4,wednesday,12,7,July     ,2023,28,DEU,Europe
2023-07-13,26.3,18.2,22.0,Berlin,Berlin,Germany,52.52,13.4,thursday ,13,7,July     ,2023,28,DEU,Europe
2023-07-14,27.1,15.0,21.2,Berlin,Berlin,Germany,52.52,13.4,friday   ,14,7,July     ,2023,28,DEU,Europe
2023-07-15,35.2,18.2,27.1,Berlin,Berlin,Germany,52.52,13.4,saturday ,15,7,July     ,2023,28,DEU,Europe
2023-07-16,30.1,19.8,24.1,Berlin,Berlin,Germany,52.52,13.4,sunday   ,16,7,July     ,2023,29,DEU,Europe
2023-07-17,28.0,17.7,22.9,Berlin,Berlin,Germany,52.52,13.4,monday   ,17,7,July     ,2023,29,DEU,Europe
2023-07-18,24.9,14.5,20.3,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,18,7,July     ,2023,29,DEU,Europe
2023-07-19,25.6,16.6,20.7,Berlin,Berlin,Germany,52.52,13.4,wednesday,19,7,July     ,2023,29,DEU,Europe
2023-07-20,20.9,13.9,17.8,Berlin,Berlin,Germany,52.52,13.4,thursday ,20,7,July     ,2023,29,DEU,Europe
2023-07-21,20.9,13.9,17.5,Berlin,Berlin,Germany,52.52,13.4,friday   ,21,7,July     ,2023,29,DEU,Europe
2023-07-22,22.9,13.9,18.2,Berlin,Berlin,Germany,52.52,13.4,saturday ,22,7,July     ,2023,29,DEU,Europe
2023-07-23,25.7,16.3,20.0,Berlin,Berlin,Germany,52.52,13.4,sunday   ,23,7,July     ,2023,30,DEU,Europe
2023-07-24,28.3,17.4,21.6,Berlin,Berlin,Germany,52.52,13.4,monday   ,24,7,July     ,2023,30,DEU,Europe
2023-07-25,21.6,15.3,18.4,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,25,7,July     ,2023,30,DEU,Europe
2023-07-26,20.7,12.4,17.0,Berlin,Berlin,Germany,52.52,13.4,wednesday,26,7,July     ,2023,30,DEU,Europe
2023-07-27,22.5,12.0,17.1,Berlin,Berlin,Germany,52.52,13.4,thursday ,27,7,July     ,2023,30,DEU,Europe
2023-07-28,22.8,15.3,18.9,Berlin,Berlin,Germany,52.52,13.4,friday   ,28,7,July     ,2023,30,DEU,Europe
2023-07-29,22.9,16.2,19.4,Berlin,Berlin,Germany,52.52,13.4,saturday ,29,7,July     ,2023,30,DEU,Europe
2023-07-30,25.4,15.4,20.0,Berlin,Berlin,Germany,52.52,13.4,sunday   ,30,7,July     ,2023,31,DEU,Europe
2023-07-31,19.4,15.0,17.0,Berlin,Berlin,Germany,52.52,13.4,monday   ,31,7,July     ,2023,31,DEU,Europe
2023-08-01,20.8,15.6,17.6,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,1,8,August   ,2023,31,DEU,Europe
2023-08-02,22.2,14.1,17.8,Berlin,Berlin,Germany,52.52,13.4,wednesday,2,8,August   ,2023,31,DEU,Europe
2023-08-03,22.4,16.2,19.3,Berlin,Berlin,Germany,52.52,13.4,thursday ,3,8,August   ,2023,31,DEU,Europe
2023-08-04,22.4,16.3,19.2,Berlin,Berlin,Germany,52.52,13.4,friday   ,4,8,August   ,2023,31,DEU,Europe
2023-08-05,22.6,14.3,18.6,Berlin,Berlin,Germany,52.52,13.4,saturday ,5,8,August   ,2023,31,DEU,Europe
2023-08-06,19.8,14.7,17.1,Berlin,Berlin,Germany,52.52,13.4,sunday   ,6,8,August   ,2023,32,DEU,Europe
2023-08-07,17.8,13.2,15.0,Berlin,Berlin,Germany,52.52,13.4,monday   ,7,8,August   ,2023,32,DEU,Europe
2023-08-08,20.4,12.5,16.0,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,8,8,August   ,2023,32,DEU,Europe
2023-08-09,20.6,12.0,16.4,Berlin,Berlin,Germany,52.52,13.4,wednesday,9,8,August   ,2023,32,DEU,Europe
2023-08-10,21.2,11.7,16.4,Berlin,Berlin,Germany,52.52,13.4,thursday ,10,8,August   ,2023,32,DEU,Europe
2023-08-11,27.0,13.9,20.1,Berlin,Berlin,Germany,52.52,13.4,friday   ,11,8,August   ,2023,32,DEU,Europe
2023-08-12,26.7,17.8,21.9,Berlin,Berlin,Germany,52.52,13.4,saturday ,12,8,August   ,2023,32,DEU,Europe
2023-08-13,26.7,17.4,21.8,Berlin,Berlin,Germany,52.52,13.4,sunday   ,13,8,August   ,2023,33,DEU,Europe
2023-08-14,30.1,17.9,23.8,Berlin,Berlin,Germany,52.52,13.4,monday   ,14,8,August   ,2023,33,DEU,Europe
2023-08-15,30.2,19.8,24.6,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,15,8,August   ,2023,33,DEU,Europe
2023-08-16,28.5,19.7,23.4,Berlin,Berlin,Germany,52.52,13.4,wednesday,16,8,August   ,2023,33,DEU,Europe
2023-08-17,25.9,18.0,21.5,Berlin,Berlin,Germany,52.52,13.4,thursday ,17,8,August   ,2023,33,DEU,Europe
2023-08-18,29.9,19.0,24.3,Berlin,Berlin,Germany,52.52,13.4,friday   ,18,8,August   ,2023,33,DEU,Europe
2023-08-19,31.7,19.9,26.2,Berlin,Berlin,Germany,52.52,13.4,saturday ,19,8,August   ,2023,33,DEU,Europe
2023-08-20,28.6,22.3,25.3,Berlin,Berlin,Germany,52.52,13.4,sunday   ,20,8,August   ,2023,34,DEU,Europe
2023-08-21,27.7,19.5,23.0,Berlin,Berlin,Germany,52.52,13.4,monday   ,21,8,August   ,2023,34,DEU,Europe
2023-08-22,25.8,19.6,22.6,Berlin,Berlin,Germany,52.52,13.4,tuesday  ,22,8,August   ,2023,34,DEU,Europe
2023-08-23,26.6,17.2,21.8,Berlin,Berlin,Germany,52.52,13.4,wednesday,23,8,August   ,2023,34,DEU,Europe
2023-08-24,28.4,16.6,22.7,Berlin,Berlin,Germany,52.52,13.4,thursday ,24,8,August   ,2023,34,DEU,Europe
2023-08-25,31.6,20.6,25.0,Berlin,Berlin,Germany,52.52,13.4,friday   ,25,8,August   ,2023,34,DEU,Europe
